user_id,date,step_count,points,step_count_cumulative,points_cumulative,rank
6630e7c2cac295000171851e,2026-05-01,12469,14969,12469,14969,8.0
6630e7c2cac295000171851e,2026-05-03,21065,23565,33534,38534,9.0
6630e7c2cac295000171851e,2026-05-04,15245,17745,48779,56279,7.0
6630e7c2cac295000171851e,2026-05-05,14583,17083,63362,73362,5.0
6630e7c2cac295000171851e,2026-05-06,15037,17537,78399,90899,4.0
6630e7c2cac295000171851e,2026-05-07,2787,2787,81186,93686,3.0
6630e9d5cac295000171861e,2026-05-01,10286,12786,10286,12786,14.0
6630e9d5cac295000171861e,2026-05-03,11084,13584,21370,26370,20.0
6630e9d5cac295000171861e,2026-05-04,10255,12755,31625,39125,19.0
6630e9d5cac295000171861e,2026-05-05,14743,17243,46368,56368,16.0
6630e9d5cac295000171861e,2026-05-06,17582,20082,63950,76450,14.0
6630e9d5cac295000171861e,2026-05-07,2734,2734,66684,79184,7.0
6630f05ecac2950001718963,2026-05-01,13576,16076,13576,16076,6.0
6630f05ecac2950001718963,2026-05-03,22115,24615,35691,40691,7.0
6630f05ecac2950001718963,2026-05-04,10030,12530,45721,53221,9.0
6630f05ecac2950001718963,2026-05-05,12981,15481,58702,68702,7.0
6630f05ecac2950001718963,2026-05-06,8935,8935,67637,77637,12.0
6630f05ecac2950001718963,2026-05-07,160,160,67797,77797,8.0
6630f25bcac2950001718a79,2026-05-02,11930,14430,11930,14430,10.0
6630f25bcac2950001718a79,2026-05-03,20445,22945,32375,37375,11.0
6630f25bcac2950001718a79,2026-05-04,12586,15086,44961,52461,10.0
6630f25bcac2950001718a79,2026-05-05,1142,1142,46103,53603,19.0
6630f25bcac2950001718a79,2026-05-06,4551,4551,50654,58154,21.0
6630f336cac2950001718af8,2026-05-01,4237,4237,4237,4237,20.0
6630f336cac2950001718af8,2026-05-02,10034,12534,14271,16771,9.0
6630f336cac2950001718af8,2026-05-03,12501,15001,26772,31772,15.0
6630f336cac2950001718af8,2026-05-04,12835,15335,39607,47107,14.0
6630f336cac2950001718af8,2026-05-05,14725,17225,54332,64332,12.0
6630f336cac2950001718af8,2026-05-06,10994,13494,65326,77826,11.0
6630f3d8cac2950001718b45,2026-05-01,20783,23283,20783,23283,3.0
6630f3d8cac2950001718b45,2026-05-02,16644,19144,37427,42427,2.0
6630f3d8cac2950001718b45,2026-05-03,14751,17251,52178,59678,2.0
6630f3d8cac2950001718b45,2026-05-04,12665,15165,64843,74843,2.0
6630f3d8cac2950001718b45,2026-05-05,7246,7246,72089,82089,3.0
6630f3d8cac2950001718b45,2026-05-06,8623,8623,80712,90712,5.0
6630f3d8cac2950001718b45,2026-05-07,61,61,80773,90773,4.0
663164d7cac295000171abd3,2026-05-01,10957,13457,10957,13457,11.0
663164d7cac295000171abd3,2026-05-03,17062,19562,28019,33019,14.0
663164d7cac295000171abd3,2026-05-04,16343,18843,44362,51862,11.0
663164d7cac295000171abd3,2026-05-05,12110,14610,56472,66472,11.0
663164d7cac295000171abd3,2026-05-06,14734,17234,71206,83706,6.0
663164d7cac295000171abd3,2026-05-07,244,244,71450,83950,6.0
66393522e2816a00014f331e,2026-05-01,12849,15349,12849,15349,7.0
66393522e2816a00014f331e,2026-05-02,11615,14115,24464,29464,4.0
66393522e2816a00014f331e,2026-05-03,18509,21009,42973,50473,3.0
66393522e2816a00014f331e,2026-05-04,13675,16175,56648,66648,4.0
66393522e2816a00014f331e,2026-05-05,10717,13217,67365,79865,4.0
66393522e2816a00014f331e,2026-05-06,3814,3814,71179,83679,7.0
68122b71d26a18787159829d,2026-05-01,10901,13401,10901,13401,12.0
68122b71d26a18787159829d,2026-05-02,10434,12934,21335,26335,6.0
68122b71d26a18787159829d,2026-05-03,10422,12922,31757,39257,8.0
68122b71d26a18787159829d,2026-05-04,12990,15490,44747,54747,8.0
68122b71d26a18787159829d,2026-05-05,10504,13004,55251,67751,8.0
68122b71d26a18787159829d,2026-05-06,10010,12510,65261,80261,10.0
68122d4dd26a187871598427,2026-05-01,25755,28255,25755,28255,1.0
68122d4dd26a187871598427,2026-05-03,12132,14632,37887,42887,6.0
68122d4dd26a187871598427,2026-05-04,24899,27399,62786,70286,3.0
68122d4dd26a187871598427,2026-05-05,14316,16816,77102,87102,2.0
68122d4dd26a187871598427,2026-05-06,17028,19528,94130,106630,2.0
68122d4dd26a187871598427,2026-05-07,233,233,94363,106863,1.0
68122ed83ede7b96a2f177ae,2026-05-01,10322,12822,10322,12822,13.0
68122ed83ede7b96a2f177ae,2026-05-03,13439,15939,23761,28761,17.0
68122ed83ede7b96a2f177ae,2026-05-04,13821,16321,37582,45082,15.0
68122ed83ede7b96a2f177ae,2026-05-05,15518,18018,53100,63100,13.0
68122ed83ede7b96a2f177ae,2026-05-06,11761,14261,64861,77361,13.0
68122ed83ede7b96a2f177ae,2026-05-07,95,95,64956,77456,9.0
69f082b5098edb45bc0c302e,2026-05-02,14616,17116,14616,17116,8.0
69f082b5098edb45bc0c302e,2026-05-03,3676,3676,18292,20792,22.0
69f082b5098edb45bc0c302e,2026-05-04,7041,7041,25333,27833,22.0
69f082b5098edb45bc0c302e,2026-05-05,11110,13610,36443,41443,22.0
69f082b5098edb45bc0c302e,2026-05-06,13049,15549,49492,56992,22.0
69f1c9ffcae8089aedebc926,2026-05-01,8449,8449,8449,8449,17.0
69f1c9ffcae8089aedebc926,2026-05-03,12804,15304,21253,23753,21.0
69f1c9ffcae8089aedebc926,2026-05-04,12435,14935,33688,38688,20.0
69f1c9ffcae8089aedebc926,2026-05-05,17877,20377,51565,59065,14.0
69f1c9ffcae8089aedebc926,2026-05-06,13279,15779,64844,74844,15.0
69f1c9ffcae8089aedebc926,2026-05-07,5,5,64849,74849,10.0
69f22f0c66e71e3b48457ba9,2026-05-01,14231,16731,14231,16731,5.0
69f22f0c66e71e3b48457ba9,2026-05-03,13999,16499,28230,33230,13.0
69f22f0c66e71e3b48457ba9,2026-05-04,15854,18354,44084,51584,12.0
69f22f0c66e71e3b48457ba9,2026-05-05,13519,16019,57603,67603,9.0
69f22f0c66e71e3b48457ba9,2026-05-06,12980,15480,70583,83083,8.0
69f22f0c66e71e3b48457ba9,2026-05-07,3355,3355,73938,86438,5.0
69f22f79aa356a55e37b9e40,2026-05-01,3594,3594,3594,3594,21.0
69f22f79aa356a55e37b9e40,2026-05-02,4496,4496,8090,8090,12.0
